,Título,Título_original,Genero,Idioma,Actores,Colección/Saga,Duración(min),Lanzamiento,Estado,Origen,Nota,Votos,Ingresos,Presupuesto,Beneficios,id
6765,A Ghost Story,A Ghost Story,"['Drama', 'Fantasía']",['English'],"['Casey Affleck', 'Rooney Mara', 'Liz Cardenas', 'Sonia Acevedo', 'Carlos Bermudez', 'Yasmina Gutierrez', 'Brea Grant', 'Augustine Frizzell', 'Will Oldham', 'Kesha']",False,87,2017-04-24,Ya en cines,['US'],7.113,2231,1929659,100000,1829659,428449
6766,Gummo,Gummo,"['Drama', 'Comedia']",['English'],"['Jacob Reynolds', 'Linda Manz', 'Chloë Sevigny', 'Carisa Glucksman', 'Darby Dougherty', 'Jacob Sewell', 'Mark Gonzales', 'Daniel Martin', 'Harmony Korine', 'Max Perlich']",False,87,1997-10-17,Ya en cines,['US'],6.624,595,116799,1300000,-1183201,18415
6767,¿Qué pasó anoche?,About Last Night...,"['Comedia', 'Drama', 'Romance']",['English'],"['Demi Moore', 'Rob Lowe', 'Jim Belushi', 'Elizabeth Perkins', 'George DiCenzo', 'Robin Thomas', 'Donna Gibbons', 'Megan Mullally', 'Michael Alldredge', 'Patricia Duff']",False,113,1986-07-02,Ya en cines,['US'],6.039,205,38702310,8500000,30202310,18169
6768,Duplex,Duplex,['Comedia'],['English'],"['Ben Stiller', 'Drew Barrymore', 'Amber Valletta', 'Eileen Essell', 'Harvey Fierstein', 'Justin Theroux', 'Swoosie Kurtz', 'Jackie Sandler', 'Robert Wisdom', 'James Remar']",False,89,2003-09-26,Ya en cines,['US'],6.1,1620,19322135,40000000,-20677865,7288
6769,10.0 Terremoto en Los Angeles,10.0 Earthquake,"['Drama', 'Aventura', 'Acción']",['English'],"['Heather Sossaman', 'Henry Ian Cusick', 'Cameron Richardson', 'Chasty Ballesteros', 'Jeffrey Jones', 'Kristen Dalton', 'Olivia Jordan', 'Malcolm Barrett', 'André Gower', 'David Chokachi']",False,88,2014-10-15,Ya en cines,['US'],4.869,118,0,0,0,302666
6770,Shogun,Shogun,"['Aventura', 'Drama', 'Historia']","['English', 'Japanese']","['Orson Welles', 'Richard Chamberlain', 'Toshirō Mifune', 'Yoko Shimada', 'Frankie Sakai', 'Alan Badel']",False,125,1981-06-17,Ya en cines,"['JP', 'US']",6.3,19,0,0,0,772733
6771,Nido de cuervos,A Murder of Crows,"['Suspense', 'Acción', 'Crimen']",['English'],"['Cuba Gooding Jr.', 'Tom Berenger', 'Marianne Jean-Baptiste', 'Eric Stoltz', 'Mark Pellegrino', 'Ashley Laurence', 'Carmen Argenziano', 'Marisa Petroro', 'Doug Wert', 'Gaelle Comparat']",False,98,1999-07-06,Ya en cines,['US'],6.065,161,0,0,0,17263
6772,Los olvidados,4Got10,['Acción'],['English'],"['Dolph Lundgren', 'Danny Trejo', 'Johnny Messner', 'Vivica A. Fox', 'Michael Paré', 'Stefania Spampinato', ""Erin O'Brien"", 'Natassia Malthe', 'John Laughlin', 'Angell Conwell']",False,84,2015-09-11,Ya en cines,['US'],5.184,98,0,0,0,362046
6773,Forsaken,Forsaken,"['Western', 'Acción', 'Drama']",['English'],"['Demi Moore', 'Kiefer Sutherland', 'Donald Sutherland', 'Brian Cox', 'Siobhan Williams', 'Michael Wincott', 'Landon Liboiron', 'Greg Ellis', 'Wesley Morgan', 'Aaron Poole', 'Demi Moore', 'Kiefer Sutherland', 'Donald Sutherland', 'Brian Cox', 'Siobhan Williams', 'Michael Wincott', 'Landon Liboiron', 'Greg Ellis', 'Wesley Morgan', 'Aaron Poole']",False,90,2015-09-16,Ya en cines,"['CA', 'FR', 'US']",6.1,333,0,11000000,-11000000,354110
6774,The Ravine,The Ravine,"['Drama', 'Misterio']",['English'],"['Eric Dane', 'Teri Polo', 'Peter Facinelli', 'Byron Mann', 'Leslie Uggams', 'Stephen Louis Grush', 'Abbie Gayle', 'Lucy Faust', 'Tadasay Young', 'Betsy Holt']",False,121,2022-05-06,Ya en cines,['US'],5.9,8,0,0,0,798359
6775,El diario de Noel,The Noel Diary,"['Romance', 'Comedia', 'Drama']",['English'],"['Justin Hartley', 'Barrett Doss', 'Bonnie Bedelia', 'Essence Atkins', 'James Remar', 'Aaron Costa Ganis', 'Jeff Corbett', 'Andrea Sooch', 'Lucia Spina', 'Shelby Reitman Renee']",False,99,2022-11-24,Ya en cines,"['CA', 'US']",6.267,335,0,0,0,736918
6776,Take Me,Take Me,"['Comedia', 'Crimen']",['English'],"['Taylor Schilling', 'Pat Healy', 'Alycia Delmore', 'Brooke Dillman', ""Jim O'Heir"", 'Mark Kelly', 'Toby Huss', 'Alejandro Patiño']",False,83,2017-05-05,Ya en cines,['US'],5.8,197,2583,0,2583,426272
6777,La comedia de la vida,Twentieth Century,"['Comedia', 'Romance']","['English', 'German']","['John Barrymore', 'Carole Lombard', 'Walter Connolly', 'Roscoe Karns', 'Ralph Forbes', 'Charles Lane', 'Etienne Girardot', 'Dale Fuller', 'Edgar Kennedy', 'Billie Seward']",False,91,1934-05-11,Ya en cines,['US'],6.8,89,0,0,0,31835
